iter	Passed	Remaining
0	136	135988
1	136	68259
2	137	45676
3	138	34386
4	138	27601
5	139	23077
6	139	19857
7	140	17432
8	141	15546
9	141	14040
10	142	12804
11	143	11777
12	143	10907
13	144	10159
14	144	9510
15	145	8942
16	146	8445
17	146	8009
18	147	7610
19	148	7253
20	148	6930
21	149	6647
22	150	6381
23	150	6132
24	151	5905
25	152	5694
26	152	5500
27	153	5318
28	153	5149
29	154	4990
30	154	4844
31	155	4705
32	156	4574
33	156	4450
34	157	4335
35	157	4227
36	158	4123
37	159	4027
38	159	3935
39	160	3845
40	160	3760
41	161	3680
42	162	3605
43	162	3531
44	163	3462
45	163	3396
46	164	3333
47	165	3274
48	165	3215
49	166	3159
50	166	3106
51	167	3053
52	168	3003
53	168	2954
54	169	2908
55	169	2863
56	170	2820
57	171	2779
58	171	2739
59	172	2699
60	172	2662
61	173	2625
62	174	2590
63	174	2555
64	175	2523
65	175	2489
66	176	2459
67	176	2425
68	177	2396
69	178	2367
70	178	2340
71	179	2312
72	179	2285
73	180	2259
74	181	2235
75	181	2210
76	182	2185
77	182	2161
78	183	2138
79	184	2116
80	184	2095
81	185	2074
82	185	2054
83	186	2034
84	187	2013
85	187	1994
86	188	1973
87	188	1955
88	189	1938
89	190	1921
90	190	1903
91	191	1886
92	191	1870
93	192	1854
94	193	1839
95	193	1824
96	194	1809
97	194	1793
98	195	1779
99	196	1764
100	196	1750
101	196	1734
102	197	1720
103	198	1707
104	198	1695
105	199	1682
106	200	1670
107	200	1657
108	201	1645
109	201	1634
110	202	1622
111	203	1612
112	203	1601
113	204	1590
114	205	1579
115	205	1569
116	206	1559
117	207	1548
118	207	1538
119	208	1528
120	209	1518
121	209	1508
122	210	1497
123	210	1488
124	211	1480
125	212	1471
126	212	1461
127	213	1451
128	213	1443
129	214	1435
130	215	1427
131	215	1419
132	216	1410
133	217	1402
134	217	1394
135	218	1387
136	219	1379
137	219	1371
138	220	1364
139	221	1357
140	221	1350
141	222	1343
142	223	1336
143	223	1329
144	224	1323
145	225	1317
146	225	1310
147	226	1303
148	227	1297
149	227	1290
150	228	1284
151	229	1277
152	229	1271
153	230	1265
154	230	1259
155	231	1253
156	232	1247
157	232	1241
158	233	1235
159	234	1229
160	234	1224
161	235	1218
162	236	1213
163	236	1207
164	237	1202
165	238	1197
166	239	1192
167	239	1187
168	240	1182
169	241	1177
170	241	1172
171	242	1167
172	243	1163
173	243	1158
174	244	1153
175	245	1148
176	246	1144
177	246	1139
178	247	1134
179	248	1130
180	248	1124
181	249	1119
182	249	1115
183	250	1110
184	251	1106
185	251	1102
186	252	1097
187	253	1093
188	253	1089
189	254	1085
190	255	1081
191	256	1077
192	256	1073
193	257	1070
194	258	1066
195	258	1062
196	259	1058
197	260	1054
198	260	1050
199	261	1046
200	262	1042
201	263	1039
202	263	1035
203	264	1031
204	264	1027
205	265	1023
206	266	1019
207	266	1016
208	267	1012
209	268	1009
210	268	1005
211	269	1002
212	270	998
213	270	995
214	271	992
215	272	988
216	273	985
217	273	982
218	274	979
219	275	976
220	276	973
221	276	969
222	277	966
223	278	963
224	278	960
225	279	957
226	280	954
227	280	950
228	281	947
229	282	944
230	282	941
231	283	938
232	284	935
233	284	932
234	285	929
235	286	926
236	286	923
237	287	920
238	288	917
239	288	914
240	289	911
241	290	908
242	290	905
243	291	903
244	292	900
245	292	897
246	293	894
247	294	892
248	294	889
249	295	886
250	296	883
251	296	880
252	297	877
253	297	875
254	298	872
255	299	869
256	299	866
257	300	864
258	301	861
259	301	858
260	302	856
261	303	853
262	303	851
263	304	849
264	305	846
265	305	844
266	306	841
267	307	839
268	307	836
269	308	833
270	309	831
271	309	829
272	310	826
273	311	824
274	311	821
275	312	820
276	313	817
277	313	815
278	314	812
279	315	810
280	315	807
281	316	805
282	316	802
283	317	800
284	318	797
285	318	795
286	319	793
287	319	791
288	320	789
289	321	786
290	322	784
291	322	782
292	323	780
293	323	777
294	324	775
295	325	773
296	325	771
297	326	768
298	327	766
299	327	764
300	328	762
301	328	760
302	329	757
303	330	755
304	330	753
305	331	751
306	331	749
307	332	746
308	333	744
309	333	742
310	334	740
311	335	738
312	335	736
313	336	734
314	336	732
315	337	730
316	337	728
317	338	726
318	339	724
319	339	721
320	340	719
321	340	717
322	341	715
323	342	713
324	342	711
325	343	709
326	343	707
327	344	705
328	345	704
329	345	702
330	346	700
331	347	698
332	347	696
333	348	694
334	348	692
335	349	690
336	350	689
337	350	687
338	351	685
339	352	683
340	352	681
341	353	680
342	354	678
343	354	676
344	355	674
345	356	672
346	356	671
347	357	669
348	357	667
349	358	666
350	359	664
351	359	662
352	360	660
353	361	659
354	361	657
355	362	655
356	363	653
357	363	652
358	364	650
359	365	648
360	365	647
361	366	645
362	366	643
363	367	641
364	368	640
365	368	638
366	369	636
367	369	635
368	370	633
369	371	631
370	371	630
371	372	628
372	372	626
373	373	624
374	373	623
375	374	621
376	375	619
377	375	618
378	376	616
379	376	614
380	377	613
381	377	611
382	378	609
383	379	608
384	379	606
385	380	604
386	380	603
387	381	601
388	382	600
389	382	598
390	383	596
391	383	595
392	384	593
393	384	592
394	385	590
395	386	588
396	386	587
397	387	585
398	387	584
399	388	582
400	388	581
401	389	579
402	390	578
403	390	576
404	391	575
405	392	574
406	393	572
407	393	571
408	394	569
409	395	568
410	395	567
411	396	565
412	397	564
413	397	563
414	398	561
415	399	560
416	399	559
417	400	557
418	401	556
419	401	555
420	402	553
421	403	552
422	404	551
423	404	549
424	405	548
425	406	547
426	406	545
427	407	544
428	407	542
429	408	541
430	409	540
431	409	538
432	410	537
433	411	536
434	411	534
435	412	533
436	412	531
437	413	530
438	414	529
439	414	527
440	415	526
441	415	524
442	416	523
443	416	522
444	417	520
445	418	519
446	418	518
447	419	516
448	419	515
449	420	513
450	421	512
451	421	511
452	422	509
453	423	508
454	423	507
455	424	506
456	424	504
457	425	503
458	425	502
459	426	500
460	427	499
461	427	498
462	428	496
463	428	495
464	429	494
465	430	492
466	430	491
467	431	490
468	431	488
469	432	487
470	432	486
471	433	484
472	434	483
473	434	482
474	435	481
475	435	479
476	436	478
477	437	477
478	437	475
479	438	474
480	438	473
481	439	472
482	440	471
483	440	469
484	441	468
485	441	467
486	442	466
487	443	465
488	443	463
489	444	462
490	445	461
491	445	460
492	446	458
493	446	457
494	447	456
495	448	455
496	448	454
497	449	452
498	449	451
499	450	450
500	451	449
501	451	448
502	452	446
503	452	445
504	453	444
505	454	443
506	454	442
507	455	441
508	456	439
509	456	438
510	457	437
511	457	436
512	458	435
513	459	434
514	459	433
515	460	431
516	461	430
517	461	429
518	462	428
519	463	427
520	463	426
521	464	425
522	464	424
523	465	422
524	466	422
525	467	420
526	467	419
527	468	418
528	469	417
529	469	416
530	470	415
531	471	414
532	471	413
533	472	412
534	473	411
535	473	410
536	474	409
537	474	407
538	475	406
539	476	405
540	476	404
541	477	403
542	478	402
543	478	401
544	479	400
545	479	399
546	480	398
547	481	397
548	482	396
549	482	394
550	483	393
551	483	392
552	484	391
553	485	390
554	485	389
555	486	388
556	486	387
557	487	386
558	488	385
559	488	384
560	489	382
561	489	381
562	490	380
563	491	379
564	491	378
565	492	377
566	492	376
567	493	375
568	494	374
569	494	373
570	495	372
571	495	371
572	496	369
573	497	368
574	497	367
575	498	366
576	498	365
577	499	364
578	500	363
579	500	362
580	501	361
581	501	360
582	502	359
583	503	358
584	503	357
585	504	356
586	504	355
587	505	354
588	506	353
589	506	352
590	507	351
591	508	350
592	508	349
593	509	348
594	510	347
595	510	346
596	511	345
